Sample_ID,Collection _Date ,Sample_Type,Generic E. Coli Presence,Replicate,
PK_RL_07-15-16,07/15/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_07-15-16,07/15/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_07-20-16,07/20/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_07-20-16,07/20/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_07-25-16,07/25/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_07-25-16,07/25/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_07-30-16,07/30/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_07-30-16,07/30/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_07-31-16,07/31/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_07-31-16,07/31/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-04-16,08/04/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-04-16,08/04/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-05-16,08/05/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-05-16,08/05/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-09-16,08/09/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-09-16,08/09/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-10-16,08/10/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-10-16,08/10/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-14-16,08/14/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-14-16,08/14/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-15-16,08/15/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-15-16,08/15/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-19-16,08/19/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-19-16,08/19/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_RL_08-24-16,08/24/16,Lettuce irrigated with reclaimed water,Negative,Replicate 1,
PK_RL_08-24-16,08/24/16,Lettuce irrigated with reclaimed water,Negative,Replicate 2,
PK_ZL_07-15-16,07/15/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_07-15-16,07/15/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_07-20-16,07/20/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_07-20-16,07/20/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_07-25-16,07/25/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_07-25-16,07/25/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_07-30-16,07/30/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_07-30-16,07/30/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_07-31-16,07/31/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_07-31-16,07/31/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-04-16,08/04/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-04-16,08/04/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-05-16,08/05/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-05-16,08/05/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-09-16,08/09/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-09-16,08/09/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-10-16,08/10/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-10-16,08/10/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-14-16,08/14/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-14-16,08/14/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-15-16,08/15/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-15-16,08/15/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-19-16,08/19/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-19-16,08/19/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 2,
PK_ZL_08-24-16,08/24/16,Lettuce irrigated with ZVI filtered reclaimed water,Negative,Replicate 1,
PK_ZL_08-24-16,08/24/16,Lettuce irrigated with ZVI filtered reclaimed water,Positive,Replicate 2,
PK_TL _08-04-16,08/04/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL _08-04-16,08/04/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_07-15-16,07/15/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_07-15-16,07/15/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_07-20-16,07/20/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_07-20-16,07/20/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_07-25-16,07/25/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_07-25-16,07/25/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_07-30-16,07/30/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_07-30-16,07/30/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_07-31-16,07/31/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_07-31-16,07/31/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-05-16,08/05/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-05-16,08/05/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-09-16,08/09/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-09-16,08/09/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-10-16,08/10/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-10-16,08/10/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-14-16,08/14/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-14-16,08/14/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-15-16,08/15/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-15-16,08/15/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-19-16,08/19/16,Lettuce irrigated with tap water,Negative,Replicate 1,
PK_TL_08-19-16,08/19/16,Lettuce irrigated with tap water,Negative,Replicate 2,
PK_TL_08-24-16,08/24/16,Lettuce irrigated with tap water,Positive,Replicate 1,
PK_TL_08-24-16,08/24/16,Lettuce irrigated with tap water,Negative,Replicate 2,
